pt,score,server,prior_prob,live_prob,prior_odds,live_odds,gap
115,1-0 4-2 0-15,Jannik Sinner,0.86271,0.96475,1.159,1.037,0.10204
116,1-0 4-2 15-15,Jannik Sinner,0.8752,0.97264,1.143,1.028,0.09744
117,1-0 4-2 15-30,Jannik Sinner,0.85684,0.95982,1.167,1.042,0.10298
118,1-0 4-2 30-30,Jannik Sinner,0.87301,0.96949,1.145,1.031,0.09648
119,1-0 4-2 40-30,Jannik Sinner,0.88952,0.9777,1.124,1.023,0.08818
120,1-0 5-2 0-0,Carlos Alcaraz,0.90012,0.98295,1.111,1.017,0.08283
121,1-0 5-2 15-0,Carlos Alcaraz,0.89721,0.979,1.115,1.021,0.08178
122,1-0 5-2 30-0,Carlos Alcaraz,0.89483,0.97458,1.118,1.026,0.07975
123,1-0 5-2 30-15,Carlos Alcaraz,0.89702,0.98023,1.115,1.02,0.08321
124,1-0 5-2 40-15,Carlos Alcaraz,0.89414,0.97585,1.118,1.025,0.08171
125,1-0 5-3 0-0,Jannik Sinner,0.89272,0.97142,1.12,1.029,0.0787
126,1-0 5-3 0-15,Jannik Sinner,0.87624,0.95832,1.141,1.043,0.08208
127,1-0 5-3 0-30,Jannik Sinner,0.85427,0.93936,1.171,1.065,0.08509
128,1-0 5-3 15-30,Jannik Sinner,0.86961,0.95222,1.15,1.05,0.08261
129,1-0 5-3 30-30,Jannik Sinner,0.88789,0.96441,1.126,1.037,0.07652
130,1-0 5-3 30-40,Jannik Sinner,0.85884,0.94379,1.164,1.06,0.08495
131,1-0 5-4 0-0,Carlos Alcaraz,0.81363,0.91094,1.229,1.098,0.0973
132,1-0 5-4 15-0,Carlos Alcaraz,0.79704,0.88748,1.255,1.127,0.09043
133,1-0 5-4 30-0,Carlos Alcaraz,0.78347,0.86342,1.276,1.158,0.07995
134,1-0 5-4 40-0,Carlos Alcaraz,0.77477,0.84114,1.291,1.189,0.06637
135,1-0 5-4 40-15,Carlos Alcaraz,0.77955,0.86604,1.283,1.155,0.08649
136,1-0 5-5 0-0,Jannik Sinner,0.77145,0.84461,1.296,1.184,0.07317
137,1-0 5-5 0-15,Jannik Sinner,0.7457,0.80082,1.341,1.249,0.05512
138,1-0 5-5 15-15,Jannik Sinner,0.76777,0.83404,1.302,1.199,0.06627
139,1-0 5-5 30-15,Jannik Sinner,0.7886,0.86334,1.268,1.158,0.07473
140,1-0 5-5 40-15,Jannik Sinner,0.80448,0.88628,1.243,1.128,0.08181
141,1-0 6-5 0-0,Carlos Alcaraz,0.81181,0.90026,1.232,1.111,0.08846
142,1-0 6-5 15-0,Carlos Alcaraz,0.79493,0.87659,1.258,1.141,0.08166
143,1-0 6-5 30-0,Carlos Alcaraz,0.78112,0.85247,1.28,1.173,0.07135
144,1-0 6-5 40-0,Carlos Alcaraz,0.77227,0.83097,1.295,1.203,0.0587
145,1-0 6-6 0-0,Jannik Sinner,0.76889,0.8136,1.301,1.229,0.04471
146,1-0 6-6 0-1,Carlos Alcaraz,0.79764,0.8499,1.254,1.177,0.05226
147,1-0 6-6 1-1,Carlos Alcaraz,0.76825,0.81107,1.302,1.233,0.04282
148,1-0 6-6 1-2,Jannik Sinner,0.73562,0.76607,1.359,1.305,0.03045
149,1-0 6-6 2-2,Jannik Sinner,0.76756,0.80847,1.303,1.237,0.04091
150,1-0 6-6 2-3,Carlos Alcaraz,0.8024,0.84965,1.246,1.177,0.04725
151,1-0 6-6 2-4,Carlos Alcaraz,0.85347,0.90625,1.172,1.103,0.05278
152,1-0 6-6 5-2,Jannik Sinner,0.89259,0.9443,1.12,1.059,0.05172
153,1-0 6-6 6-2,Jannik Sinner,0.9104,0.95957,1.098,1.042,0.04917
154,1-0 6-6 3-6,Carlos Alcaraz,0.89772,0.94386,1.114,1.059,0.04614
155,1-0 6-6 4-6,Carlos Alcaraz,0.88322,0.92705,1.132,1.079,0.04383
156,2-0 0-0 0-0,Carlos Alcaraz,0.91854,0.95987,1.089,1.042,0.04133
157,2-0 0-0 15-0,Carlos Alcaraz,0.91296,0.95132,1.095,1.051,0.03836
158,2-0 0-0 15-15,Carlos Alcaraz,0.91952,0.96264,1.088,1.039,0.04313
159,2-0 0-0 15-30,Carlos Alcaraz,0.92946,0.97333,1.076,1.027,0.04387
160,2-0 0-0 15-40,Carlos Alcaraz,0.94229,0.98256,1.061,1.018,0.04027
161,2-0 1-0 0-0,Jannik Sinner,0.95387,0.98873,1.048,1.011,0.03486
162,2-0 1-0 15-0,Jannik Sinner,0.95873,0.99137,1.043,1.009,0.03264
163,2-0 1-0 30-0,Jannik Sinner,0.96255,0.99327,1.039,1.007,0.03073
164,2-0 1-0 30-15,Jannik Sinner,0.95891,0.99058,1.043,1.01,0.03167
165,2-0 1-0 30-30,Jannik Sinner,0.95166,0.9858,1.051,1.014,0.03414
166,2-0 1-0 40-30,Jannik Sinner,0.96022,0.99011,1.041,1.01,0.02989
167,2-0 1-0 40-40,Jannik Sinner,0.95166,0.9846,1.051,1.016,0.03294
168,2-0 1-0 40-AD,Jannik Sinner,0.93833,0.97546,1.066,1.025,0.03713
169,2-0 1-1 0-0,Carlos Alcaraz,0.9176,0.96053,1.09,1.041,0.04293
170,2-0 1-1 15-0,Carlos Alcaraz,0.91141,0.95156,1.097,1.051,0.04015
171,2-0 1-1 15-15,Carlos Alcaraz,0.91867,0.96293,1.089,1.038,0.04425
172,2-0 1-1 30-15,Carlos Alcaraz,0.91101,0.95349,1.098,1.049,0.04248
173,2-0 1-1 40-15,Carlos Alcaraz,0.90489,0.94373,1.105,1.06,0.03885
174,2-0 1-2 0-0,Jannik Sinner,0.90187,0.93522,1.109,1.069,0.03335
175,2-0 1-2 15-0,Jannik Sinner,0.9079,0.94496,1.101,1.058,0.03707
176,2-0 1-2 15-15,Jannik Sinner,0.90053,0.9307,1.11,1.074,0.03018
177,2-0 1-2 30-15,Jannik Sinner,0.90812,0.94204,1.101,1.062,0.03393
178,2-0 1-2 40-15,Jannik Sinner,0.9139,0.95098,1.094,1.052,0.03708
179,2-0 1-2 40-30,Jannik Sinner,0.90975,0.94024,1.099,1.064,0.0305
180,2-0 1-2 40-40,Jannik Sinner,0.89912,0.92242,1.112,1.084,0.0233
181,2-0 1-2 AD-40,Jannik Sinner,0.90975,0.93695,1.099,1.067,0.0272
182,2-0 1-2 40-40,Jannik Sinner,0.89912,0.91856,1.112,1.089,0.01944
183,2-0 1-2 40-AD,Jannik Sinner,0.88258,0.89282,1.133,1.12,0.01025
184,2-0 1-3 0-0,Carlos Alcaraz,0.85683,0.85783,1.167,1.166,0.001
185,2-0 1-3 0-15,Carlos Alcaraz,0.86635,0.88175,1.154,1.134,0.0154
186,2-0 1-3 15-15,Carlos Alcaraz,0.85798,0.8638,1.166,1.158,0.00581
187,2-0 1-3 30-15,Carlos Alcaraz,0.84977,0.84402,1.177,1.185,-0.00575
188,2-0 1-3 30-30,Carlos Alcaraz,0.85918,0.86931,1.164,1.15,0.01013
189,2-0 1-3 40-30,Carlos Alcaraz,0.84786,0.8472,1.179,1.18,-0.00066
190,2-0 1-4 0-0,Jannik Sinner,0.83997,0.82692,1.191,1.209,-0.01305
191,2-0 1-4 15-0,Jannik Sinner,0.84307,0.84084,1.186,1.189,-0.00223
192,2-0 1-4 30-0,Jannik Sinner,0.8455,0.85361,1.183,1.171,0.00811
193,2-0 1-4 40-0,Jannik Sinner,0.84699,0.86437,1.181,1.157,0.01738
194,2-0 1-4 40-15,Jannik Sinner,0.84616,0.84916,1.182,1.178,0.00301
195,2-0 2-4 0-0,Carlos Alcaraz,0.84753,0.86003,1.18,1.163,0.0125
196,2-0 2-4 15-0,Carlos Alcaraz,0.84009,0.84162,1.19,1.188,0.00154
197,2-0 2-4 15-15,Carlos Alcaraz,0.84883,0.86568,1.178,1.155,0.01685
198,2-0 2-4 15-30,Carlos Alcaraz,0.86207,0.89075,1.16,1.123,0.02868
199,2-0 2-4 30-30,Carlos Alcaraz,0.85016,0.8714,1.176,1.148,0.02124
200,2-0 2-4 40-30,Carlos Alcaraz,0.83746,0.84919,1.194,1.178,0.01173
201,2-0 2-5 0-0,Jannik Sinner,0.82861,0.82913,1.207,1.206,0.00052
202,2-0 2-5 15-0,Jannik Sinner,0.83082,0.84146,1.204,1.188,0.01064
203,2-0 2-5 30-0,Jannik Sinner,0.83256,0.85242,1.201,1.173,0.01986
204,2-0 2-5 40-0,Jannik Sinner,0.83362,0.86211,1.2,1.16,0.02849
205,2-0 2-5 40-15,Jannik Sinner,0.83302,0.84778,1.2,1.18,0.01475
206,2-0 3-5 0-0,Carlos Alcaraz,0.834,0.85735,1.199,1.166,0.02335
207,2-0 3-5 15-0,Carlos Alcaraz,0.82539,0.83889,1.212,1.192,0.0135
208,2-0 3-5 15-15,Carlos Alcaraz,0.8355,0.86309,1.197,1.159,0.02758
209,2-0 3-5 15-30,Carlos Alcaraz,0.85084,0.88887,1.175,1.125,0.03803
210,2-0 3-5 30-30,Carlos Alcaraz,0.83706,0.8689,1.195,1.151,0.03185
211,2-0 3-5 30-40,Carlos Alcaraz,0.85818,0.8979,1.165,1.114,0.03972
212,2-0 4-5 0-0,Jannik Sinner,0.8885,0.92725,1.125,1.078,0.03875
213,2-0 4-5 0-15,Jannik Sinner,0.87258,0.90512,1.146,1.105,0.03254
214,2-0 4-5 0-30,Jannik Sinner,0.85135,0.87662,1.175,1.141,0.02527
215,2-0 4-5 0-40,Jannik Sinner,0.82828,0.84469,1.207,1.184,0.0164
216,2-1 0-0 0-0,Carlos Alcaraz,0.81209,0.81769,1.231,1.223,0.0056
217,2-1 0-0 0-15,Carlos Alcaraz,0.83059,0.84963,1.204,1.177,0.01904
218,2-1 0-0 15-15,Carlos Alcaraz,0.81434,0.82407,1.228,1.213,0.00974
219,2-1 0-0 30-15,Carlos Alcaraz,0.79836,0.79591,1.253,1.256,-0.00245
220,2-1 0-0 40-15,Carlos Alcaraz,0.78561,0.76945,1.273,1.3,-0.01616
221,2-1 0-0 40-30,Carlos Alcaraz,0.79465,0.79662,1.258,1.255,0.00197
222,2-1 0-0 40-40,Carlos Alcaraz,0.81666,0.83443,1.225,1.198,0.01777
223,2-1 0-0 AD-40,Carlos Alcaraz,0.79465,0.80152,1.258,1.248,0.00687
224,2-1 0-1 0-0,Jannik Sinner,0.77932,0.77225,1.283,1.295,-0.00707
225,2-1 0-1 15-0,Jannik Sinner,0.79185,0.79706,1.263,1.255,0.00521
